5,7,35,1.4,0.486,0.914,8.5,17,32,2,1
6,7,42,1.167,0.357,0.548,7.5,15,23,2,1
9,37,333,4.111,0.532,0.913,3.22,177,304,55,1
2,18,36,9.0,0.667,0.694,24.0,24,25,1,2
9,34,306,3.778,0.32,0.886,1.56,98,271,63,1
11,99,1089,9.0,0.23,0.601,2.14,250,654,117,1
10,12,120,1.2,0.367,1.0,1.69,44,120,26,1
9,12,108,1.333,0.454,1.0,1.69,49,108,29,1
12,12,144,1.0,0.306,0.979,1.69,44,141,26,1
9,85,765,9.444,0.302,0.812,1.82,231,621,127,1
3,116,348,38.667,0.356,0.371,62.0,124,129,2,2
3,132,396,44.0,0.505,0.558,20.0,200,221,10,2
10,131,1310,13.1,0.415,0.857,2.74,543,1123,198,1
10,38,380,3.8,0.387,0.887,2.49,147,337,59,1
8,20,160,2.5,0.5,1.0,2.76,80,160,29,1
9,36,324,4.0,0.54,0.929,2.87,175,301,61,1
8,41,328,5.125,0.363,0.942,1.63,119,309,73,1
7,122,854,17.429,0.281,0.626,1.73,240,535,139,1
10,96,960,9.6,0.418,0.886,2.49,401,851,161,1
25,71,1775,2.84,0.234,0.748,2.22,416,1328,187,1
12,8,96,0.667,0.198,1.0,2.11,19,96,9,1
10,126,1260,12.6,0.463,0.848,3.16,584,1068,185,1
9,45,405,5.0,0.442,0.956,3.31,179,387,54,1
10,123,1230,12.3,0.362,0.888,2.99,445,1092,149,1
1,9,9,9.0,0.778,1.0,7.0,7,9,1,1
8,2,16,0.25,0.563,0.563,9.0,9,9,1,1
11,207,2277,18.818,0.268,0.723,1.84,610,1647,332,1
9,92,828,10.222,0.365,0.954,2.2,302,790,137,1
1,152,152,152.0,0.822,1.0,11.36,125,152,11,2
6,22,132,3.667,0.197,1.0,2.89,26,132,9,1
1,52,52,52.0,0.981,1.0,51.0,51,52,1,2
10,79,790,7.9,0.385,0.88,2.13,304,695,143,1
10,11,110,1.1,0.373,1.0,1.58,41,110,26,1
9,47,423,5.222,0.333,0.757,2.39,141,320,59,1
8,27,216,3.375,0.218,0.829,2.14,47,179,22,1
311,463,143993,1.489,0.088,0.16,3.93,12631,23092,3212,5
9,37,333,4.111,0.538,0.901,2.8,179,300,64,1
12,101,1212,8.417,0.292,0.792,1.99,354,960,178,1
10,87,870,8.7,0.344,0.901,2.27,299,784,132,1
10,84,840,8.4,0.356,0.849,2.47,299,713,121,1
9,5,45,0.556,0.711,0.889,10.67,32,40,3,1
10,47,470,4.7,0.336,0.628,2.26,158,295,70,1
9,37,333,4.111,0.39,0.811,2.03,130,270,64,1
12,85,1020,7.083,0.305,0.828,1.94,311,845,160,1
9,99,891,11.0,0.38,0.93,1.92,339,829,177,1
9,7,63,0.778,0.302,0.603,1.9,19,38,10,1
10,99,990,9.9,0.473,0.917,2.93,468,908,160,1
10,85,850,8.5,0.324,0.675,2.25,275,574,122,1
1,117,117,117.0,0.393,1.0,5.75,46,117,8,2
7,7,49,1.0,0.327,0.898,2.29,16,44,7,1
9,38,342,4.222,0.444,0.898,2.71,152,307,56,1
1,19,19,19.0,0.684,1.0,4.33,13,19,3,2
9,22,198,2.444,0.318,0.909,2.42,63,180,26,1
9,6,54,0.667,0.37,0.907,2.5,20,49,8,1
9,82,738,9.111,0.32,0.947,2.13,236,699,111,1
8,99,792,12.375,0.351,0.962,1.66,278,762,167,1
12,117,1404,9.75,0.251,0.635,1.86,353,891,190,1
10,8,80,0.8,0.525,0.875,7.0,42,70,6,1
9,41,369,4.556,0.374,0.846,2.06,138,312,67,1
12,48,576,4.0,0.252,0.755,1.71,145,435,85,1
1,37,37,37.0,0.811,1.0,6.0,30,37,5,2
1,46,46,46.0,0.239,1.0,1.38,11,46,8,2
1,17,17,17.0,0.882,1.0,7.5,15,17,2,2
9,64,576,7.111,0.307,0.842,1.99,177,485,89,1
8,54,432,6.75,0.35,0.887,1.74,151,383,87,1
